序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,133.601,0.00,147.54,-3.36%,-9.44%,0.018,0.00%,14.96
2,2026-03-19,133.601,15165.51,134.12,-3.36%,-0.39%,0.058,1896.55%,13.60
3,2026-03-18,144.539,30888.40,144.28,-5.60%,0.18%,0.402,541.90%,14.63
4,2026-03-17,141.431,69028.95,142.70,-4.98%,-0.89%,0.869,556.20%,14.47
5,2026-03-16,137.743,12154.42,137.97,-4.23%,-0.16%,1.055,83.75%,13.99
6,2026-03-13,143.517,12242.93,144.28,-5.38%,-0.53%,1.364,61.71%,14.63
7,2026-03-12,150.829,14311.36,150.59,-6.75%,0.16%,1.468,64.26%,15.27
8,2026-03-11,153.543,25215.21,153.55,-7.24%,0.00%,1.637,99.83%,15.57
9,2026-03-10,154.589,128025.83,154.54,-7.42%,0.03%,1.696,489.47%,15.67
10,2026-03-09,151.429,203339.54,147.44,-6.84%,2.71%,1.934,705.67%,14.95
11,2026-03-06,134.068,7921.91,134.02,-3.43%,0.03%,1.992,29.77%,13.59
12,2026-03-05,131.199,4954.21,130.67,-2.81%,0.40%,2.039,18.47%,13.25
13,2026-03-04,129.988,3743.99,129.19,-2.54%,0.62%,2.043,14.06%,13.10
14,2026-03-03,131.133,6333.46,130.57,-2.79%,0.43%,2.043,23.30%,13.24
15,2026-03-02,136.212,14626.28,136.39,-3.87%,-0.13%,2.044,52.86%,13.83
16,2026-02-27,133.231,11341.06,133.63,-3.23%,-0.30%,2.198,38.57%,13.55
17,2026-02-26,134.946,9452.62,135.21,-3.59%,-0.19%,2.416,28.76%,13.71
18,2026-02-25,138.694,14233.19,138.36,-4.36%,0.24%,2.638,38.97%,14.03
19,2026-02-24,136.398,16727.64,136.59,-3.89%,-0.14%,2.709,44.81%,13.85
20,2026-02-13,138.199,21295.06,139.45,-4.22%,-0.90%,2.825,54.39%,14.14
21,2026-02-12,136.532,14034.15,136.59,-3.88%,-0.04%,3.029,34.10%,13.85
22,2026-02-11,134.350,10930.20,134.71,-3.43%,-0.27%,3.125,26.11%,13.66
23,2026-02-10,131.825,24769.66,132.15,-2.89%,-0.25%,3.253,57.08%,13.40
24,2026-02-09,136.634,58361.32,141.22,-3.89%,-3.25%,3.605,119.79%,14.32
25,2026-02-06,137.921,26187.74,140.53,-4.14%,-1.86%,5.271,36.17%,14.77
26,2026-02-05,135.647,16370.32,139.11,-3.68%,-2.49%,5.271,22.79%,14.62
27,2026-02-04,137.679,17246.30,140.44,-4.08%,-1.96%,5.271,23.72%,14.76
28,2026-02-03,138.719,19085.70,140.06,-4.29%,-0.96%,5.271,26.15%,14.72
29,2026-02-02,136.081,14363.21,135.97,-3.76%,0.08%,5.271,19.85%,14.29
30,2026-01-30,140.008,14814.24,140.82,-4.53%,-0.58%,5.271,20.15%,14.80
