序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,152.357,87885.94,114.05,-10.77%,33.59%,9.999,56.99%,21.27
2,2026-01-15,142.918,4160.31,103.70,-8.14%,37.82%,9.999,2.93%,19.34
3,2026-01-14,140.464,5728.44,103.16,-7.41%,36.16%,9.999,4.04%,19.24
4,2026-01-13,142.276,5811.79,105.20,-7.93%,35.24%,9.999,4.04%,19.62
5,2026-01-12,144.895,5666.02,105.63,-8.68%,37.17%,9.999,3.96%,19.70
6,2026-01-09,141.796,10085.03,105.20,-7.76%,34.79%,9.999,7.13%,19.62
7,2026-01-08,138.918,3457.90,103.43,-6.89%,34.31%,9.999,2.48%,19.29
8,2026-01-07,138.786,4942.07,102.36,-6.85%,35.59%,9.999,3.55%,19.09
9,2026-01-06,139.711,4562.07,102.84,-7.11%,35.85%,9.999,3.28%,19.18
10,2026-01-05,137.254,4454.13,102.68,-6.37%,33.67%,9.999,3.25%,19.15
11,2025-12-31,135.077,4705.32,101.50,-5.66%,33.08%,9.999,3.48%,18.93
12,2025-12-30,134.845,5034.93,102.41,-5.58%,31.67%,9.999,3.74%,19.10
13,2025-12-29,134.581,4689.89,101.50,-5.49%,32.59%,9.999,3.49%,18.93
14,2025-12-26,135.227,6786.64,101.88,-5.67%,32.74%,9.999,5.01%,19.00
15,2025-12-25,135.884,4793.52,102.31,-5.87%,32.82%,9.999,3.54%,19.08
16,2025-12-24,134.068,3709.93,100.27,-5.30%,33.71%,9.999,2.77%,18.70
17,2025-12-23,133.630,2278.48,99.36,-5.16%,34.50%,9.999,1.70%,18.53
18,2025-12-22,134.593,3322.42,100.97,-5.45%,33.31%,9.999,2.47%,18.83
19,2025-12-19,134.529,5211.31,99.95,-5.41%,34.60%,9.999,3.89%,18.64
20,2025-12-18,133.270,3109.85,100.16,-5.02%,33.06%,9.999,2.33%,18.68
21,2025-12-17,133.273,2774.79,102.04,-5.01%,30.61%,9.999,2.09%,19.03
22,2025-12-16,132.894,6470.45,101.45,-4.89%,31.00%,9.999,4.86%,18.92
23,2025-12-15,134.743,3847.09,104.72,-5.45%,28.67%,9.999,2.85%,19.53
24,2025-12-12,136.150,3368.29,107.02,-5.86%,27.21%,9.999,2.48%,19.96
25,2025-12-11,135.026,3483.74,105.47,-5.51%,28.02%,9.999,2.57%,19.67
26,2025-12-10,136.187,4500.70,107.61,-5.86%,26.55%,9.999,3.32%,20.07
27,2025-12-09,134.880,2862.80,103.91,-5.46%,29.80%,9.999,2.12%,19.38
28,2025-12-08,136.256,5132.45,105.95,-5.86%,28.60%,9.999,3.77%,19.76
29,2025-12-05,136.584,9786.37,109.60,-5.94%,24.62%,9.999,7.21%,20.55
30,2025-12-04,134.376,3367.68,105.65,-5.27%,27.19%,9.999,2.50%,19.81
