序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-21,116.902,2959.13,41.84,-2.19%,179.42%,13.398,1.89%,23.40
2,2026-01-20,116.785,2299.00,42.63,-2.05%,173.98%,13.398,1.47%,23.84
3,2026-01-19,116.800,3256.98,42.57,-2.06%,174.36%,13.398,2.08%,23.81
4,2026-01-16,116.382,2482.10,40.91,-1.57%,184.49%,13.398,1.59%,22.88
5,2026-01-15,116.221,4719.18,41.21,-1.38%,182.01%,13.398,3.03%,23.05
6,2026-01-14,116.405,2950.23,40.91,-1.59%,184.55%,13.398,1.89%,22.88
7,2026-01-13,116.220,2831.17,40.05,-1.37%,190.19%,13.398,1.81%,22.40
8,2026-01-12,116.900,3537.67,40.87,-2.12%,186.01%,13.398,2.25%,22.86
9,2026-01-09,117.000,3309.63,40.23,-2.21%,190.84%,13.398,2.11%,22.50
10,2026-01-08,116.879,3647.17,40.53,-2.07%,188.36%,13.398,2.33%,22.67
11,2026-01-07,116.784,3412.32,39.94,-1.96%,192.38%,13.398,2.18%,22.34
12,2026-01-06,117.199,3286.08,40.05,-2.39%,192.63%,13.398,2.10%,22.40
13,2026-01-05,116.306,3509.94,39.80,-1.43%,192.23%,13.398,2.25%,22.26
14,2025-12-31,116.134,1486.28,38.66,-1.22%,200.43%,13.398,0.96%,21.62
15,2025-12-30,116.117,2011.94,39.19,-1.20%,196.28%,13.398,1.29%,21.92
16,2025-12-29,115.992,2107.08,39.19,-1.06%,195.96%,13.398,1.35%,21.92
17,2025-12-26,116.308,2172.45,39.34,-1.38%,195.69%,13.398,1.39%,22.00
18,2025-12-25,116.330,2374.98,39.34,-1.40%,195.74%,13.398,1.52%,22.00
19,2025-12-24,115.959,1077.89,39.19,-1.01%,195.88%,13.398,0.69%,21.92
20,2025-12-23,116.085,1080.18,39.37,-1.14%,194.85%,13.398,0.69%,22.02
21,2025-12-22,116.160,1503.62,39.73,-1.21%,192.39%,13.398,0.97%,22.22
22,2025-12-19,116.000,1328.96,39.73,-1.04%,191.98%,13.398,0.86%,22.22
23,2025-12-18,116.023,1486.44,39.48,-1.06%,193.89%,13.398,0.96%,22.08
24,2025-12-17,115.800,971.35,39.28,-0.82%,194.80%,13.398,0.63%,21.97
25,2025-12-16,115.797,1255.13,38.89,-0.82%,197.77%,13.398,0.81%,21.75
26,2025-12-15,115.840,712.12,38.07,-0.86%,204.32%,13.398,0.46%,21.29
27,2025-12-12,115.650,1084.30,37.48,-0.66%,208.60%,13.398,0.70%,20.96
28,2025-12-11,116.019,2651.24,37.78,-1.03%,207.10%,13.398,1.70%,21.13
29,2025-12-10,116.349,935.59,37.94,-1.35%,206.66%,13.398,0.60%,21.22
30,2025-12-09,116.109,1150.07,37.94,-1.11%,206.03%,13.398,0.74%,21.22
