序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,190.080,201515.49,142.01,-9.03%,33.85%,7.498,135.24%,17.24
2,2026-01-15,178.867,14963.91,129.08,-8.00%,38.57%,7.499,11.10%,15.67
3,2026-01-14,182.608,31476.01,129.16,-8.35%,41.38%,7.499,23.03%,15.68
4,2026-01-13,184.328,37899.90,130.40,-8.50%,41.36%,7.499,27.46%,15.83
5,2026-01-12,190.013,50052.84,129.74,-9.01%,46.46%,7.499,35.36%,15.75
6,2026-01-09,178.530,12681.22,129.74,-7.95%,37.61%,7.499,9.42%,15.75
7,2026-01-08,179.090,31553.96,135.26,-7.99%,32.41%,7.500,23.12%,16.42
8,2026-01-07,178.002,26907.43,134.02,-7.89%,32.82%,7.500,20.08%,16.27
9,2026-01-06,178.265,62213.47,134.35,-7.91%,32.69%,7.500,46.22%,16.31
10,2026-01-05,175.851,53440.56,135.75,-7.67%,29.54%,7.500,40.73%,16.48
11,2025-12-31,175.593,347074.65,135.34,-7.63%,29.74%,7.500,260.64%,16.43
12,2025-12-30,168.289,355744.38,124.38,-6.90%,35.30%,7.500,267.32%,15.10
13,2025-12-29,166.405,118879.94,115.16,-6.71%,44.50%,7.500,92.43%,13.98
14,2025-12-26,161.702,46377.75,113.10,-6.21%,42.98%,7.500,37.30%,13.73
15,2025-12-25,166.041,92651.31,114.75,-6.66%,44.70%,7.500,72.58%,13.93
16,2025-12-24,165.764,125905.00,112.44,-6.63%,47.43%,7.500,98.61%,13.65
17,2025-12-23,174.696,373264.63,114.66,-7.51%,52.36%,7.500,289.17%,13.92
18,2025-12-22,155.485,234050.16,104.20,-5.52%,49.22%,7.500,203.16%,12.65
19,2025-12-19,138.000,4976.66,94.73,-3.43%,45.68%,7.500,4.81%,11.50
20,2025-12-18,138.077,4612.24,93.49,-3.44%,47.69%,7.500,4.43%,11.35
21,2025-12-17,137.107,2269.76,90.94,-3.31%,50.77%,7.500,2.22%,11.04
22,2025-12-16,136.269,1716.63,89.29,-3.20%,52.61%,7.500,1.67%,10.84
23,2025-12-15,138.601,4778.69,93.25,-3.50%,48.64%,7.500,4.58%,11.32
24,2025-12-12,138.000,2341.76,89.37,-3.42%,54.41%,7.500,2.28%,10.85
25,2025-12-11,135.241,2349.03,85.67,-3.06%,57.87%,7.500,2.30%,10.40
26,2025-12-10,135.319,727.30,84.68,-3.07%,59.80%,7.500,0.72%,10.28
27,2025-12-09,134.900,833.01,84.76,-3.02%,59.15%,7.500,0.82%,10.29
28,2025-12-08,136.059,1495.63,86.66,-3.16%,57.01%,7.500,1.47%,10.52
29,2025-12-05,135.175,1317.66,86.74,-3.05%,55.84%,7.500,1.31%,10.53
30,2025-12-04,133.801,674.17,84.27,-2.86%,58.78%,7.500,0.67%,10.23
