序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,200.020,10333.58,154.68,-15.32%,29.31%,5.699,8.98%,15.70
2,2026-01-19,207.855,8756.01,159.11,-16.35%,30.63%,5.699,7.37%,16.15
3,2026-01-16,211.240,19382.60,161.28,-16.75%,30.98%,5.699,16.23%,16.37
4,2026-01-15,200.382,9853.79,155.07,-15.31%,29.22%,5.699,8.68%,15.74
5,2026-01-14,199.837,14061.65,155.57,-15.23%,28.46%,5.699,12.17%,15.79
6,2026-01-13,203.065,10763.87,154.48,-15.65%,31.45%,5.699,9.23%,15.68
7,2026-01-12,207.348,15255.28,160.89,-16.20%,28.88%,5.699,13.00%,16.33
8,2026-01-09,207.346,11709.12,161.08,-16.16%,28.72%,5.699,9.94%,16.35
9,2026-01-08,203.607,12431.44,162.17,-15.66%,25.55%,5.699,10.62%,16.46
10,2026-01-07,203.887,23700.04,162.66,-15.68%,25.35%,5.699,20.22%,16.51
11,2026-01-06,203.958,25175.74,163.84,-15.68%,24.48%,5.699,21.74%,16.63
12,2026-01-05,204.056,23035.23,162.07,-15.68%,25.91%,5.699,19.92%,16.45
13,2025-12-31,195.776,11546.97,158.92,-14.50%,23.19%,5.699,10.32%,16.13
14,2025-12-30,197.556,20137.18,163.25,-14.73%,21.01%,5.699,17.97%,16.57
15,2025-12-29,195.157,23193.63,162.17,-14.39%,20.34%,5.699,20.79%,16.46
16,2025-12-26,198.645,16855.64,167.59,-14.84%,18.53%,5.699,14.65%,17.01
17,2025-12-25,202.666,49983.00,172.02,-15.36%,17.82%,5.699,43.08%,17.46
18,2025-12-24,198.769,108179.09,169.95,-14.83%,16.96%,5.699,95.33%,17.25
19,2025-12-23,187.515,13230.66,157.73,-13.24%,18.88%,5.699,12.30%,16.01
20,2025-12-22,188.253,19852.81,156.55,-13.34%,20.25%,5.699,18.24%,15.89
21,2025-12-19,185.935,17074.34,153.89,-12.97%,20.82%,5.699,15.92%,15.62
22,2025-12-18,190.683,22822.84,156.75,-13.64%,21.65%,5.699,21.26%,15.91
23,2025-12-17,189.114,37830.44,162.07,-13.41%,16.69%,5.699,35.80%,16.45
24,2025-12-16,177.666,7303.57,154.09,-11.69%,15.30%,5.699,7.17%,15.64
25,2025-12-15,180.651,9431.29,158.62,-12.14%,13.89%,5.699,9.09%,16.10
26,2025-12-12,184.523,14057.71,162.37,-12.69%,13.65%,5.699,13.34%,16.48
27,2025-12-11,183.400,13777.31,160.69,-12.51%,14.13%,5.699,13.03%,16.31
28,2025-12-10,186.729,18029.92,163.94,-12.99%,13.90%,5.699,17.04%,16.64
29,2025-12-09,187.229,50906.00,165.52,-13.05%,13.12%,5.699,47.33%,16.80
30,2025-12-08,185.793,19702.23,162.56,-12.83%,14.29%,5.699,18.59%,16.50
