序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,140.688,4648.08,121.52,-4.15%,15.78%,5.797,5.69%,13.61
2,2026-01-15,140.223,6179.05,121.07,-4.07%,15.82%,5.797,7.59%,13.56
3,2026-01-14,140.044,10256.90,120.27,-4.03%,16.44%,5.797,12.54%,13.47
4,2026-01-13,141.112,13255.63,121.52,-4.22%,16.12%,5.797,16.04%,13.61
5,2026-01-12,140.626,6870.05,117.86,-4.13%,19.32%,5.797,8.42%,13.20
6,2026-01-09,140.363,4477.28,117.95,-4.07%,19.01%,5.797,5.49%,13.21
7,2026-01-08,139.992,5788.24,117.68,-4.01%,18.96%,5.797,7.14%,13.18
8,2026-01-07,139.702,6175.25,118.39,-3.95%,18.00%,5.797,7.62%,13.26
9,2026-01-06,139.236,4725.06,118.13,-3.87%,17.87%,5.797,5.87%,13.23
10,2026-01-05,137.764,3993.18,117.14,-3.60%,17.60%,5.797,5.00%,13.12
11,2025-12-31,136.980,3691.20,117.23,-3.45%,16.85%,5.797,4.66%,13.13
12,2025-12-30,136.388,3428.05,116.61,-3.34%,16.96%,5.797,4.33%,13.06
13,2025-12-29,137.407,4798.66,118.93,-3.52%,15.54%,5.797,6.06%,13.32
14,2025-12-26,137.365,3786.83,117.05,-3.44%,17.35%,5.797,4.75%,13.11
15,2025-12-25,137.462,4541.17,117.68,-3.45%,16.81%,5.797,5.67%,13.18
16,2025-12-24,136.648,2620.07,117.23,-3.30%,16.56%,5.797,3.31%,13.13
17,2025-12-23,136.268,3671.93,116.88,-3.23%,16.59%,5.797,4.65%,13.09
18,2025-12-22,136.489,2931.24,116.96,-3.27%,16.69%,5.797,3.71%,13.10
19,2025-12-19,136.320,3043.07,117.68,-3.23%,15.84%,5.797,3.86%,13.18
20,2025-12-18,135.993,2919.09,116.34,-3.17%,16.89%,5.797,3.70%,13.03
21,2025-12-17,135.225,3242.89,116.43,-3.03%,16.14%,5.797,4.14%,13.04
22,2025-12-16,134.970,3867.64,116.96,-2.98%,15.39%,5.797,4.96%,13.10
23,2025-12-15,135.246,2959.28,117.59,-3.03%,15.02%,5.797,3.77%,13.17
24,2025-12-12,136.232,2972.67,119.29,-3.20%,14.21%,5.797,3.76%,13.36
25,2025-12-11,136.054,3838.07,120.09,-3.17%,13.29%,5.797,4.86%,13.45
26,2025-12-10,136.945,1955.28,121.52,-3.33%,12.70%,5.797,2.47%,13.61
27,2025-12-09,136.884,3273.76,122.14,-3.31%,12.07%,5.797,4.12%,13.68
28,2025-12-08,137.749,3464.78,123.13,-3.46%,11.88%,5.797,4.33%,13.79
29,2025-12-05,137.287,3154.81,122.86,-3.37%,11.75%,5.797,3.98%,13.76
30,2025-12-04,136.337,2388.89,122.50,-3.20%,11.30%,5.797,3.02%,13.72
