序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,116.966,25048.48,90.39,-4.10%,29.40%,85.966,2.48%,39.41
2,2026-01-15,116.691,22243.52,89.04,-3.94%,31.06%,85.966,2.22%,38.82
3,2026-01-14,117.377,30478.20,88.99,-4.31%,31.90%,85.966,3.00%,38.80
4,2026-01-13,117.950,24224.31,88.49,-4.61%,33.30%,85.966,2.38%,38.58
5,2026-01-12,119.501,27047.13,91.65,-5.41%,30.39%,85.966,2.63%,39.96
6,2026-01-09,118.881,28604.23,89.70,-5.06%,32.53%,85.966,2.79%,39.11
7,2026-01-08,118.846,22897.49,88.85,-5.04%,33.76%,85.966,2.24%,38.74
8,2026-01-07,117.956,22358.00,88.30,-4.56%,33.58%,85.966,2.20%,38.50
9,2026-01-06,117.941,32650.34,89.40,-4.55%,31.92%,85.971,3.24%,38.98
10,2026-01-05,116.443,19603.23,86.93,-3.74%,33.96%,85.971,1.96%,37.90
11,2025-12-31,115.306,14201.48,85.51,-3.10%,34.85%,85.971,1.43%,37.28
12,2025-12-30,114.890,11764.41,85.99,-2.87%,33.61%,85.971,1.19%,37.49
13,2025-12-29,114.463,14788.18,85.67,-2.63%,33.62%,85.971,1.49%,37.35
14,2025-12-26,115.787,14124.02,86.90,-3.33%,33.24%,85.971,1.42%,37.89
15,2025-12-25,115.774,12791.33,87.23,-3.32%,32.73%,85.971,1.29%,38.03
16,2025-12-24,115.394,11404.38,87.66,-3.11%,31.64%,85.971,1.15%,38.22
17,2025-12-23,115.994,26447.88,88.23,-3.42%,31.46%,85.971,2.65%,38.47
18,2025-12-22,115.795,12641.71,86.28,-3.31%,34.20%,85.971,1.27%,37.62
19,2025-12-19,114.714,12851.96,85.34,-2.72%,34.41%,85.971,1.30%,37.21
20,2025-12-18,114.211,15974.29,84.63,-2.45%,34.95%,85.971,1.62%,36.90
21,2025-12-17,115.137,14453.01,85.51,-2.94%,34.66%,85.971,1.47%,37.28
22,2025-12-16,114.302,17034.26,84.54,-2.49%,35.20%,85.971,1.73%,36.86
23,2025-12-15,115.444,14696.42,87.25,-3.09%,32.32%,85.971,1.48%,38.04
24,2025-12-12,116.746,15607.72,89.73,-3.75%,30.12%,85.971,1.56%,39.12
25,2025-12-11,116.018,10225.21,87.20,-3.37%,33.05%,85.971,1.02%,38.02
26,2025-12-10,116.991,15576.14,89.79,-3.86%,30.29%,85.971,1.55%,39.15
27,2025-12-09,116.878,23319.02,90.30,-3.80%,29.44%,85.971,2.32%,39.37
28,2025-12-08,117.458,13090.31,89.79,-4.08%,30.81%,85.971,1.29%,39.15
29,2025-12-05,117.157,15242.55,89.40,-3.91%,31.04%,85.971,1.52%,38.98
30,2025-12-04,116.289,11115.53,88.39,-3.47%,31.56%,85.971,1.11%,38.54
