序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,140.500,3296.47,101.79,-3.54%,38.02%,3.380,6.93%,10.78
2,2026-01-15,139.968,1719.43,100.38,-3.46%,39.44%,3.380,3.65%,10.63
3,2026-01-14,139.133,3521.24,100.00,-3.33%,39.13%,3.380,7.43%,10.59
4,2026-01-13,138.446,2665.84,99.53,-3.22%,39.10%,3.380,5.67%,10.54
5,2026-01-12,140.796,2214.12,100.19,-3.58%,40.53%,3.380,4.66%,10.61
6,2026-01-09,139.284,2451.83,100.19,-3.34%,39.02%,3.380,5.22%,10.61
7,2026-01-08,138.505,1631.79,100.00,-3.22%,38.50%,3.380,3.49%,10.59
8,2026-01-07,137.977,1334.14,100.09,-3.13%,37.85%,3.380,2.86%,10.60
9,2026-01-06,138.157,1262.86,100.38,-3.16%,37.64%,3.380,2.71%,10.63
10,2026-01-05,136.907,1819.65,99.06,-2.96%,38.21%,3.380,3.94%,10.49
11,2025-12-31,134.852,1343.07,97.92,-2.62%,37.71%,3.380,2.94%,10.37
12,2025-12-30,135.460,1873.30,99.43,-2.72%,36.23%,3.380,4.11%,10.53
13,2025-12-29,135.097,2483.46,98.58,-2.66%,37.04%,3.380,5.45%,10.44
14,2025-12-26,135.501,2230.18,97.92,-2.72%,38.38%,3.380,4.86%,10.37
15,2025-12-25,135.839,2851.90,98.49,-2.77%,37.92%,3.380,6.23%,10.43
16,2025-12-24,134.154,2733.73,97.83,-2.50%,37.13%,3.380,6.00%,10.36
17,2025-12-23,134.774,1264.53,96.51,-2.60%,39.65%,3.380,2.77%,10.22
18,2025-12-22,134.955,745.38,97.17,-2.62%,38.89%,3.380,1.63%,10.29
19,2025-12-19,134.544,1171.86,97.07,-2.55%,38.60%,3.380,2.59%,10.28
20,2025-12-18,133.032,1380.77,95.18,-2.31%,39.76%,3.380,3.07%,10.08
21,2025-12-17,132.078,800.12,93.96,-2.15%,40.57%,3.380,1.80%,9.95
22,2025-12-16,131.313,821.29,94.62,-2.03%,38.78%,3.380,1.85%,10.02
23,2025-12-15,132.707,680.82,96.41,-2.25%,37.65%,3.380,1.52%,10.21
24,2025-12-12,133.340,814.13,96.79,-2.35%,37.76%,3.380,1.80%,10.25
25,2025-12-11,133.304,904.85,97.55,-2.34%,36.66%,3.380,2.00%,10.33
26,2025-12-10,134.334,952.48,99.72,-2.51%,34.72%,3.380,2.11%,10.56
27,2025-12-09,133.730,2798.81,99.43,-2.41%,34.49%,3.380,6.17%,10.53
28,2025-12-08,134.546,3162.19,100.76,-2.54%,33.54%,3.380,6.96%,10.67
29,2025-12-05,134.720,2297.40,100.09,-2.56%,34.59%,3.380,5.10%,10.60
30,2025-12-04,132.840,1334.30,99.06,-2.26%,34.11%,3.380,2.97%,10.49
